config,params,variant,cycles_avg,speedup_over_legacy,cycles_over_legacy
8x8,113,legacy_c,5012812,1.0,1.0
8x8,113,cpp_direct_c_backend,4768041,1.0513357582285892,0.9511709196355259
8x8,113,cpp_m55,2288928,2.1900260733408827,0.4566155682678704
8x8,113,cpp_generic,2208650,2.2696271478052203,0.4406010039873827
8x8,113,rltools_generic,3114157,1.6096850608366886,0.6212395358134316
16x8,209,legacy_c,6467890,1.0,1.0
16x8,209,cpp_direct_c_backend,6310011,1.0250204001229157,0.9755903393533285
16x8,209,cpp_m55,4083832,1.5837796461754547,0.6314009669304828
16x8,209,cpp_generic,4176785,1.5485331421176813,0.6457724234642209
16x8,209,rltools_generic,5550388,1.1653041192795892,0.8581450828631904
16x16,353,legacy_c,8233737,1.0,1.0
16x16,353,cpp_direct_c_backend,8161413,1.0088617007863712,0.9912161391601407
16x16,353,cpp_m55,5804873,1.4184181118174335,0.7050107381374946
16x16,353,cpp_generic,6768004,1.2165679866619463,0.8219844767934658
16x16,353,rltools_generic,9836038,0.8370989416673664,1.194601916480937
32x16,673,legacy_c,11810771,1.0,1.0
32x16,673,cpp_direct_c_backend,11869999,0.9950102775914303,1.0050147445920339
32x16,673,cpp_m55,10367357,1.1392268058291037,0.8777883340554143
32x16,673,cpp_generic,12166980,0.9707233019204436,1.030159673741875
32x16,673,rltools_generic,25064187,0.47122098953379177,2.1221465558853017
32x32,1217,legacy_c,17274911,1.0,1.0
32x32,1217,cpp_direct_c_backend,21288642,0.8114613886597369,1.2323445255376424
32x32,1217,cpp_m55,16849953,1.0252201296941303,0.9754002784732148
32x32,1217,cpp_generic,21699226,0.7961072436408562,1.2561121733130782
32x32,1217,rltools_generic,51012819,0.33863862728307564,2.953000394618531
64x32,2369,legacy_c,31451158,1.0,1.0
64x32,2369,cpp_direct_c_backend,37372086,0.8415681693550635,1.1882578695512578
64x32,2369,cpp_m55,27561777,1.1411150304278277,0.8763358411159297
64x32,2369,cpp_generic,41223215,0.7629477225393507,1.3107057934083064
64x32,2369,rltools_generic,109287868,0.2877827024679446,3.474844010513063
