config,input_features,variant,model_size_kind,seeds,warmups,cycles_avg,cycles_min,cycles_max,cycles_over_legacy,runtime_source,runtime_status,runtime_done_status,model_state_bytes,arena_or_required_memory,object_or_control_bytes,elf_text,elf_data,elf_bss,elf_dec,elf_file_bytes,elf_text_over_legacy,elf_dec_over_legacy,elf_file_over_legacy,build_dir,serial_path,size_path,elf_path
16x16,3,legacy_c,arena+control,10,2,8240886,7850910,8780050,1.0,combined_all_log,0,0,7264,7200,64,49404,92,37292,86788,80080,1.0,1.0,1.0,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x16_1/legacy_c,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x16_1/legacy_c/serial.log,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x16_1/legacy_c/EL_C_vsCpp_Appli_3_16x16_1_legacy_c.size.txt,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x16_1/legacy_c/EL_C_vsCpp_Appli_3_16x16_1_legacy_c.elf
16x16,3,cpp_direct_c_backend,required_memory/model_object,10,2,8168195,7749620,8693303,0.9911792251464223,combined_all_log,0,0,6048,6016,6048,47828,92,36100,84020,77788,0.9680997490081775,0.9681061897958243,0.9713786213786214,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x16_1/cpp_direct_c_backend,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x16_1/cpp_direct_c_backend/serial.log,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x16_1/cpp_direct_c_backend/EL_C_vsCpp_Appli_3_16x16_1_cpp_direct_c_backend.size.txt,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x16_1/cpp_direct_c_backend/EL_C_vsCpp_Appli_3_16x16_1_cpp_direct_c_backend.elf
16x16,3,cpp_m55,required_memory/model_object,10,2,5806241,5434900,6336996,0.7045651402045848,combined_all_log,0,0,6048,6016,6048,41684,112,36064,77860,71588,0.8437373492024938,0.8971286352952021,0.893956043956044,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x16_1/cpp_m55,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x16_1/cpp_m55/serial.log,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x16_1/cpp_m55/EL_C_vsCpp_Appli_3_16x16_1_cpp_m55.size.txt,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x16_1/cpp_m55/EL_C_vsCpp_Appli_3_16x16_1_cpp_m55.elf
16x16,3,cpp_generic,required_memory/model_object,10,2,6779423,5982435,7689359,0.822657054108017,combined_all_log,0,0,5944,5920,5944,45660,112,35960,81732,75172,0.9242166626184115,0.9417430981241647,0.9387112887112887,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x16_1/cpp_generic,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x16_1/cpp_generic/serial.log,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x16_1/cpp_generic/EL_C_vsCpp_Appli_3_16x16_1_cpp_generic.size.txt,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x16_1/cpp_generic/EL_C_vsCpp_Appli_3_16x16_1_cpp_generic.elf
16x16,3,rltools_generic,static_state/model_object,10,2,9844205,9812762,9865789,1.1945566289838252,combined_all_log,0,0,5916,6124,5916,47972,92,36140,84204,80260,0.9710144927536232,0.9702262985666221,1.0022477522477522,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x16_1/rltools_generic,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x16_1/rltools_generic/serial.log,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x16_1/rltools_generic/EL_C_vsCpp_Appli_3_16x16_1_rltools_generic.size.txt,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x16_1/rltools_generic/EL_C_vsCpp_Appli_3_16x16_1_rltools_generic.elf
32x16,3,legacy_c,arena+control,10,2,11803468,10693743,12760647,1.0,combined_all_log,0,0,12576,12512,64,49404,92,45164,94660,80048,1.0,1.0,1.0,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_32x16_1/legacy_c,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_32x16_1/legacy_c/serial.log,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_32x16_1/legacy_c/EL_C_vsCpp_Appli_3_32x16_1_legacy_c.size.txt,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_32x16_1/legacy_c/EL_C_vsCpp_Appli_3_32x16_1_legacy_c.elf
32x16,3,cpp_direct_c_backend,required_memory/model_object,10,2,11859089,10663074,12848805,1.0047122591428215,combined_all_log,0,0,11296,11264,11296,47876,92,43908,91876,77948,0.9690713302566594,0.9705894781322628,0.9737657405556666,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_32x16_1/cpp_direct_c_backend,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_32x16_1/cpp_direct_c_backend/serial.log,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_32x16_1/cpp_direct_c_backend/EL_C_vsCpp_Appli_3_32x16_1_cpp_direct_c_backend.size.txt,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_32x16_1/cpp_direct_c_backend/EL_C_vsCpp_Appli_3_32x16_1_cpp_direct_c_backend.elf
32x16,3,cpp_m55,required_memory/model_object,10,2,10366813,9400342,11516671,0.8782853480011129,combined_all_log,0,0,11296,11264,11296,41372,112,43872,85356,71448,0.8374220710873613,0.9017113881259243,0.8925644613232061,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_32x16_1/cpp_m55,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_32x16_1/cpp_m55/serial.log,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_32x16_1/cpp_m55/EL_C_vsCpp_Appli_3_32x16_1_cpp_m55.size.txt,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_32x16_1/cpp_m55/EL_C_vsCpp_Appli_3_32x16_1_cpp_m55.elf
32x16,3,cpp_generic,required_memory/model_object,10,2,12175991,10743731,13877719,1.0315604701940142,combined_all_log,0,0,11192,11168,11192,46172,112,43768,90052,75828,0.9345801959355517,0.9513205155292627,0.9472816310213872,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_32x16_1/cpp_generic,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_32x16_1/cpp_generic/serial.log,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_32x16_1/cpp_generic/EL_C_vsCpp_Appli_3_32x16_1_cpp_generic.size.txt,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_32x16_1/cpp_generic/EL_C_vsCpp_Appli_3_32x16_1_cpp_generic.elf
32x16,3,rltools_generic,static_state/model_object,10,2,25041861,25020524,25061308,2.121568084905216,combined_all_log,0,0,11164,11500,11164,47068,92,44076,91236,78864,0.9527163792405473,0.9638284386224382,0.9852088746751949,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_32x16_1/rltools_generic,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_32x16_1/rltools_generic/serial.log,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_32x16_1/rltools_generic/EL_C_vsCpp_Appli_3_32x16_1_rltools_generic.size.txt,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_32x16_1/rltools_generic/EL_C_vsCpp_Appli_3_32x16_1_rltools_generic.elf
